,Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
0,P1,11,12,10,8,13,12,14,21,6,14,11,14,16,9,9,9,14,9,3,12,5
1,P2,7,6,3,2,7,1,6,3,3,3,2,2,6,2,0,6,2,7,7,9,4
2,P3,7,11,8,9,10,8,7,13,12,6,14,9,4,7,12,8,7,11,10,7,7
3,P4,12,8,13,5,9,6,9,13,13,11,8,4,5,4,15,7,11,9,15,4,6
4,P5,8,5,13,11,6,7,9,14,9,9,11,18,8,4,13,8,10,15,6,13,11
5,P6,3,3,2,7,6,3,8,6,6,3,1,1,5,4,3,5,3,5,10,8,4
6,P7,4,8,3,7,8,7,2,3,10,3,5,2,3,4,5,3,7,10,0,3,7
7,P8,8,6,10,9,6,8,7,5,10,10,8,8,15,9,5,11,10,7,13,9,12
8,P9,14,9,10,7,11,15,12,7,13,12,15,15,16,10,9,9,13,8,10,18,18
9,P10,22,19,19,29,20,16,26,20,24,20,31,22,23,19,15,19,22,23,20,33,16
10,P11,15,7,15,14,17,7,10,16,11,8,8,10,10,12,10,16,13,10,13,13,18
11,P12,3,4,1,6,4,3,7,3,5,3,5,6,5,0,4,0,7,1,5,5,3
12,P13,12,10,9,6,10,11,18,8,10,17,11,12,11,13,10,8,9,10,9,8,7
13,P14,14,12,9,11,13,12,8,12,13,10,10,17,14,14,25,18,13,22,12,21,15
14,P15,19,45,47,42,29,44,43,36,25,52,39,42,43,42,43,51,40,44,30,39,39
15,P16,30,27,27,43,29,32,49,41,49,38,42,30,43,43,54,48,34,36,44,43,44
16,P17,49,40,40,28,40,47,44,45,39,33,39,37,33,52,29,45,34,43,40,50,29
17,P18,40,38,39,38,39,33,28,44,36,36,23,38,38,41,43,27,38,31,43,32,35
18,P19,26,31,45,36,31,28,28,34,42,40,43,35,30,33,40,45,48,35,30,29,39
19,P20,13,17,11,10,7,11,17,8,12,10,8,9,8,10,10,13,11,10,7,8,8
20,P21,12,5,9,8,9,6,10,13,6,12,13,10,15,12,8,12,12,9,12,8,9
21,P22,8,14,8,9,17,6,17,15,11,13,9,18,5,8,12,6,17,9,10,6,9
22,P23,3,5,4,3,3,2,5,4,5,5,7,7,5,4,6,6,6,8,4,4,3
23,P24,36,42,27,33,40,48,38,39,41,39,44,35,53,52,43,45,41,42,43,26,35
24,P25,26,28,33,32,20,33,42,29,24,32,45,41,35,39,32,36,31,32,48,26,34
25,P26,14,14,9,8,9,7,9,11,10,14,16,7,15,8,18,8,11,12,9,15,16
26,P27,44,34,33,39,34,30,47,27,45,39,47,39,35,47,29,45,52,38,51,38,41
27,P28,34,32,36,41,31,31,32,29,43,33,37,44,37,27,36,38,24,36,30,32,29
28,P29,13,10,12,17,17,11,15,16,10,12,18,6,14,12,11,10,19,25,9,17,12
29,P30,46,36,45,34,35,36,43,28,26,33,46,42,41,42,37,38,40,35,29,31,43
30,P31,7,17,6,7,9,7,11,10,13,9,4,15,10,7,10,9,11,8,14,9,10
31,P32,15,13,10,4,13,7,10,12,11,15,5,15,8,10,7,16,11,10,7,11,6
32,P33,15,12,11,17,10,18,11,16,8,6,11,10,18,10,14,13,13,12,14,10,10
33,P34,47,42,24,55,42,23,41,51,45,29,51,40,28,48,35,40,38,36,53,38,39
34,P35,34,37,26,27,49,48,36,34,28,41,41,35,29,42,41,31,38,27,36,36,39
35,P36,41,32,39,45,38,40,39,39,27,48,47,35,61,34,37,47,30,46,41,45,38
36,P37,36,39,43,42,38,37,31,26,36,29,31,36,46,25,51,44,42,52,40,56,46
37,P38,37,36,43,52,61,50,35,52,49,46,53,57,35,33,42,41,31,43,36,42,27
38,P39,31,21,28,39,53,39,25,31,43,40,41,43,47,35,36,34,35,40,54,38,34
39,P40,41,27,27,51,37,38,48,40,39,40,47,31,48,43,37,45,47,39,50,38,38
40,P41,35,27,26,43,44,38,40,38,47,48,32,37,35,36,50,41,50,50,37,41,37
41,P42,42,27,40,27,32,42,31,37,22,38,33,39,37,45,48,31,45,35,31,48,31
42,P43,28,43,40,43,54,33,39,30,38,38,56,34,37,32,44,47,45,51,33,48,61
43,P44,34,27,28,36,50,28,31,33,34,27,29,33,30,45,35,42,45,37,39,32,40
44,P45,40,29,39,34,37,23,33,26,34,41,33,29,54,37,37,27,33,39,32,40,46
45,P46,27,46,31,38,40,40,53,43,45,32,37,32,38,39,28,43,50,39,44,33,35
46,P47,40,42,27,28,33,29,33,58,37,34,37,19,41,37,47,36,30,40,46,26,31
47,P48,29,51,40,33,43,28,29,41,35,45,43,41,30,32,51,50,45,34,37,40,34
48,P49,37,28,42,38,37,35,42,36,30,48,28,39,32,44,36,41,35,39,39,48,32
49,P50,12,3,15,8,12,7,9,10,12,8,13,11,9,9,11,7,12,13,11,10,5
50,P51,19,14,17,27,14,18,18,18,14,18,19,17,28,25,21,16,24,26,14,18,20
51,P52,40,44,37,48,28,40,35,32,41,36,44,39,31,32,43,39,46,36,31,43,34
52,P53,2,5,6,8,3,1,9,6,2,5,5,4,2,3,7,7,9,3,10,2,7
53,P54,41,42,37,40,29,52,43,40,41,38,33,52,37,43,47,33,34,45,25,32,36
54,P55,34,30,42,42,29,24,36,42,42,29,42,47,26,30,32,37,40,30,37,33,40
55,P56,31,28,41,36,45,25,42,47,36,42,42,37,45,38,40,31,34,28,27,35,40
56,P57,38,26,37,43,51,39,42,27,36,45,27,39,37,41,28,45,39,34,40,45,39
57,P58,32,34,38,41,24,29,34,47,41,42,28,35,26,32,36,41,35,30,47,20,28
58,P59,5,13,10,11,10,11,10,8,9,13,11,12,8,7,8,7,11,10,7,6,14
59,P60,37,41,46,27,51,28,38,40,37,34,34,26,39,33,32,37,45,34,47,40,41
60,P61,25,30,32,47,45,50,40,35,33,33,35,43,41,32,38,40,30,36,27,26,39
61,P62,12,27,18,22,19,19,25,19,8,15,15,18,15,22,18,16,19,21,18,14,20
62,P63,37,39,54,44,30,36,48,39,40,34,50,40,40,41,55,34,42,46,43,33,30
63,P64,34,37,29,42,31,36,36,43,29,30,48,34,38,33,28,45,41,33,52,38,29
64,P65,14,10,9,10,11,9,9,7,12,5,16,17,7,7,12,5,15,15,13,11,8
